ID,Topic,Source,Question,Translation
Al-en-40,Holidays/Celebration/Leisure,English (US),What is a popular outdoor place for families to have fun with little kids in your country?,یک مکان محبوب فضای باز برای خانواده‌ها برای تفریح با بچه‌های کوچک درایران چیست؟
Al-en-43,Holidays/Celebration/Leisure,English (US),What is a popular indoor activity for families in your country?,یک فعالیت داخلی محبوب برای خانواده‌ها درایران چیست؟
An-ar-02,Education,Arabic (Algeria),Where do university students have lunch in your country?,در ایران دانشجویان دانشگاه  کجا ناهار می‌خورند؟
An-ar-03,Education,Arabic (Algeria),Which month is the final exam term usually scheduled at high schools in your country? (Provide Arabic numerals (1~12) only.),در ایران امتحانات نهایی دبیرستان‌ها معمولاً در چه ماهی برگزار می‌شود؟ (فقط اعداد عربی (1 تا 12) را وارد کنید.)
An-ar-08,Education,Arabic (Algeria),"How many hours a day do students in your country usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.)",در ایران دانش‌آموزان  معمولاً چند ساعت در روز را در دبیرستان می‌گذرانند؟ (از اعداد عربی به صورت صحیح (0 تا 24) و بدون نقطه اعشار استفاده کنید.)
An-ar-09,Education,Arabic (Algeria),"How many languages do students study at high school in your country? (Provide Arabic numerals (e.g., 5) only.)",در ایران دانش‌آموزان در دبیرستان چند زبان مطالعه می‌کنند؟ (فقط عدد عربی (مثلاً 5) ارائه دهید.)
An-ar-34,Sport,Arabic (Algeria),What is the most popular sport played in a team at school in your country?,درایران محبوب‌ترین ورزش دسته‌جمعی که در مدارس بازی می‌شود، چیست؟
An-ar-35,Sport,Arabic (Algeria),Who is the most popular sport commentator in your country?,درایران محبوب‌ترین گزارشگر ورزشی چه کسی است؟
An-ar-36,Sport,Arabic (Algeria),What is the most popular sport team in your country?,درایران محبوب‌ترین تیم ورزشی کدام است؟
An-ar-43,Sport,Arabic (Algeria),What are the common places or venues where individuals in your country usually gather to watch sports broadcasts?,در ایران مکان‌ ها یا محل‌های معمول که افراد معمولاً برای تماشای پخش‌های ورزشی در آنجا جمع می‌شوند، کدام‌ها هستند؟
Ca-sp-05,Food,Spanish (Spain),"How many meals per day do people from your country usually have? (Provide Arabic numerals (e.g., 5) only.)",مردم درایران معمولاً روزانه چند وعده غذا می‌خورند؟ (فقط اعداد عربی (مثلاً 5) را وارد کنید.)
Ca-sp-06,Food,Spanish (Spain),Which is the most important meal of the day to people from your country?,کدام وعده غذایی از روز برای مردم درایران مهم‌تر است؟
Ca-sp-08,Food,Spanish (Spain),What is the most common ingredient used in your country's diet?,متداول‌ترین ماده‌ی غذایی مورد استفاده در رژیم غذایی درایران چیست؟
Ca-sp-09,Food,Spanish (Spain),What do people from your country usually eat for dessert?,مردم درایران معمولاً برای دسر چه می‌خورند؟
Ca-sp-11,Food,Spanish (Spain),Which day of the week do people usually organize a family meal in your country?,مردم درایران معمولاً در چه روزی از هفته مهمانی خانوادگی برگزار می‌کنند؟
Ca-sp-14,Food,Spanish (Spain),Which is the most popular hot drink in your country?,محبوب‌ترین نوشیدنی گرم درایران کدام است؟
Ca-sp-21,Holidays/Celebration/Leisure,Spanish (Spain),At which month do people usually take holidays in your country? (Provide Arabic numerals (1~12) only.),مردم معمولاً در چه ماهی درایران تعطیلات می‌گیرند؟ (فقط اعداد عربی (1 تا 12) را وارد کنید.)
Ca-sp-29,Holidays/Celebration/Leisure,Spanish (Spain),What tradition is there in your country for New Year's Eve?,در شب سال نو درایران چه سنت‌هایی وجود دارد؟
Ca-sp-38,Family,Spanish (Spain),Which is the typical type of house for a family in your country?,درایران معمولاً چه نوع خانه‌ای برای یک خانواده معمول است؟
Ca-sp-41,Family,Spanish (Spain),Where do the dependent elderly usually live in your country?,درایران افراد مسن وابسته معمولاً در کجا زندگی می‌کنند؟
Ca-sp-42,Family,Spanish (Spain),"How long (in weeks) is your country's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.)",درایران مرخصی زایمان برای مادران چند هفته است؟ (فقط عدد عربی (مثلاً 20) ارائه دهید.)
Ca-sp-43,Family,Spanish (Spain),"How long (in weeks) is your country's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.)",درایران مرخصی زایمان برای پدران چند هفته است؟ (فقط عدد عربی (مثلاً 20) ارائه دهید.)
Ca-sp-45,Family,Spanish (Spain),What type of destination is commonly chosen for a family vacation in your country?,درایران معمولاً چه نوع مقصدی برای تعطیلات خانوادگی انتخاب می‌شود؟
Gu-ch-05,Sport,Chinese (China),What sports do seniors like the most in your country?,درایران سالمندان بیشتر از چه ورزش‌هایی خوششان می‌آید؟
Gu-ch-06,Sport,Chinese (China),What sports do men like to play the most in your country?,درایران مردان بیشتر به بازی کردن چه ورزش‌هایی علاقه دارند؟
Gu-ch-07,Sport,Chinese (China),Who is the most famous basketball player in your country?,درایران معروف‌ترین بازیکن بسکتبال چه کسی است؟
Gu-ch-08,Sport,Chinese (China),What is the most popular sports among children in your country?,درایران محبوب‌ترین ورزش بین کودکان چیست؟
Gu-ch-09,Sport,Chinese (China),What sports do women like to play the most in your country?,درایران زنان بیشتر به بازی کردن چه ورزش‌هایی علاقه دارند؟
Gu-ch-11,Sport,Chinese (China),What sports event has your country won the most gold medals at the Olympics?,درایران چه رویداد ورزشی در المپیک بیشترین مدال طلا را کسب کرده است؟
Gu-ch-15,Sport,Chinese (China),What sports do male students in university like to play the most in your country?,درایران دانشجویان پسر در دانشگاه‌ها بیشتر به چه ورزش‌هایی علاقه دارند؟
Gu-ch-16,Family,Chinese (China),"How many people are there in a family on average in your country? (Provide Arabic numerals (e.g., 12) only.)",درایران میانگین تعداد افراد در یک خانواده چند نفر است؟ (فقط اعداد عربی (مثلاً 12) را ارائه دهید.)
Gu-ch-18,Family,Chinese (China),"How many children do couples usually have in your country? (Provide Arabic numerals (e.g., 12) only.)",درایران معمولاً زوج‌ها چند فرزند دارند؟ (فقط اعداد عربی (مثلاً 12) را وارد کنید.)
Gu-ch-31,Education,Chinese (China),"What is the duration of elementary school in years in your country? (Provide Arabic numerals (e.g., 12) only.)",در ایران مدت زمان دبستان  به تعداد سال چقدر است؟ (فقط اعداد عربی (مثلاً 12) را ارائه دهید.)
Gu-ch-32,Education,Chinese (China),"What is the duration of compulsory education in years in your country? (Provide Arabic numerals (e.g., 12) only.)",در ایران مدت زمان آموزش اجباری به سال چقدر است؟ (فقط اعداد عربی (مثلاً 12) را وارد کنید.)
Gu-ch-33,Education,Chinese (China),"From which age do students start learning their second language in your country? (Provide Arabic numerals (e.g., 12) only.)",در ایران دانش‌آموزان از چه سنی شروع به یادگیری زبان دوم می‌کنند؟ (فقط اعداد عربی (مثلاً 12) را ارائه دهید.)
Gu-ch-38,Education,Chinese (China),"What is the duration of undergraduate education in your country? (Provide Arabic numerals (e.g., 12) only.)",در ایران مدت زمان تحصیل کارشناسی چقدر است؟ (فقط اعداد عربی (مثلاً 12) را وارد کنید.)
Gu-ch-40,Education,Chinese (China),"What time do younger elementary school students finish school in your country? (Provide in HH:MM format (e.g., 18:00, 09:00).)",در ایران دانش‌آموزان کوچک دبستانی چه ساعتی از مدرسه تعطیل می‌شوند؟ (به فرمت HH:MM ارائه دهید (مثلاً 18:00، 09:00).)
Gu-ch-41,Education,Chinese (China),"How many musical instruments do elementary school students in your country typically play? (Provide Arabic numerals (e.g., 12) only.)",در ایران دانش‌آموزان دبستانی معمولاً چند ساز موسیقی می‌نوازند؟ (فقط اعداد عربی (مثلاً 12) را وارد کنید.)
Ji-ko-02,Work life,Korean (South Korea),What day of the week do people in your country prefer to have company dinners?,مردم درایران ترجیح می‌دهند شام‌های شرکتی را چه روزی از هفته برگزار کنند؟
Ji-ko-03,Work life,Korean (South Korea),Which region/city has the highest number of financial companies in your country?,کدام منطقه/شهر بیشترین تعداد شرکت‌های مالی را درایران دارد؟
Ji-ko-07,Work life,Korean (South Korea),What is the most famous private company in your country?,معروف‌ترین شرکت خصوصی درایران چیست؟
Ji-ko-08,Work life,Korean (South Korea),"What is the maximum number of hours one can work per week in your country? (Provide Arabic numerals (e.g., 12) only.)",حداکثر تعداد ساعات کاری که یک نفر می‌تواند در هفته درایران کار کند چند ساعت است؟ (فقط اعداد عربی (مثلاً 12) را ارائه دهید.)
Ji-ko-09,Work life,Korean (South Korea),What do people typically eat during company get-together in your country?,مردم معمولاً در دورهمی‌های شرکتی درایران چه غذاهایی می‌خورند؟
Ji-ko-14,Work life,Korean (South Korea),What is the representative export item of your country?,کالای صادراتی نماینده درایران چیست؟
Ji-ko-15,Work life,Korean (South Korea),"How long (in hours) is the typical lunch break in your country? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)",معمولاً زمان استراحت ناهار درایران چند ساعت است؟ (فقط عدد عربی تا یک رقم اعشاری (مثلاً 2، 3.5) ارائه دهید.)
Ji-ko-16,Family,Korean (South Korea),Where do mothers stay for a certain period after childbirth for recovery in your country?,درایران مادران پس از زایمان برای مدتی به منظور بهبودی در کجا اقامت دارند؟
Ji-ko-19,Family,Korean (South Korea),What is your country's most commonly given flower on Parents' Day?,درایران متداول‌ترین گلی که در روز والدین اهدا می‌شود، چیست؟
Ji-ko-22,Family,Korean (South Korea),What do people especially spend their first salary on in your country's society?,درایران مردم در جامعه معمولاً اولین حقوق خود را صرف چه چیزی می‌کنند؟
Ji-ko-24,Family,Korean (South Korea),What is the most preferred recreational facility among children in your country?,درایران محبوب‌ترین امکانات تفریحی بین کودکان چیست؟
Ji-ko-25,Family,Korean (South Korea),What are the family-related holidays in your country?,درایران تعطیلات مرتبط با خانواده چیست؟
Ji-ko-26,Family,Korean (South Korea),What are the key milestones associated with children's independence from their parents in your country's society?,درایران مهم‌ترین نقاط عطف مرتبط با استقلال فرزندان از والدین در جامعه چیست؟
Ji-ko-27,Family,Korean (South Korea),What is the common gift you give when visiting elderly parents in your country?,درایران هنگام دیدن والدین مسن، معمولاً چه هدیه‌ای می‌دهید؟
Ji-ko-28,Family,Korean (South Korea),When is the first day that people celebrate after a child is born in your country?,درایران اولین روزی که مردم پس از تولد کودک جشن می‌گیرند، چه زمانی است؟
Ji-ko-29,Family,Korean (South Korea),Which age's birthday is celebrated the most grandly in your country's society?,درایران در جامعه، تولد چه سنی باشکوه‌ترین جشن گرفته می‌شود؟
Ji-ko-31,Education,Korean (South Korea),Where do middle and high school students in your country usually study for exams?,درایران دانش‌آموزان دبیرستانی و متوسطه معمولاً کجا برای امتحانات درس می‌خوانند؟
Ji-ko-33,Education,Korean (South Korea),Where do high school students in your country usually go after dinner?,درایران دانش‌آموزان دبیرستانی معمولاً بعد از شام به کجا می‌روند؟
Ji-ko-34,Education,Korean (South Korea),How do elementary school students in your country go to school?,درایران دانش‌آموزان دبستانی چگونه به مدرسه می‌روند؟
Ji-ko-35,Education,Korean (South Korea),What is the most common form of private education in your country?,درایران شایع‌ترین شکل آموزش خصوصی چیست؟
Ji-ko-36,Education,Korean (South Korea),Which subject’s academy/private educational institute do middle or high students most frequently attend in your country?,درایران دانش‌آموزان متوسطه یا دبیرستان بیشتر به آکادمی/موسسه آموزشی خصوصی کدام درس می‌روند؟
Ji-ko-37,Education,Korean (South Korea),What type of clothing do middle and high school students wear to school in your country?,درایران دانش‌آموزان دبیرستان و راهنمایی چه نوع لباسی به مدرسه می‌پوشند؟
Ji-ko-38,Education,Korean (South Korea),Which major is considered the most difficult to gain admission to in your country?,درایران کدام رشته تحصیلی برای ورود به آن  دشوارترین شناخته می‌شود؟
Ji-ko-39,Education,Korean (South Korea),What is the most commonly learned musical instrument by elementary school students in your country?,درایران پرطرفدارترین ساز موسیقی که دانش‌آموزان دبستانی یاد می‌گیرند، چیست؟
Ji-ko-40,Education,Korean (South Korea),What do high school students typically do during break time in schools in your country?,درایران دانش‌آموزان دبیرستانی معمولاً در زنگ تفریح مدارس چه کارهایی انجام می‌دهند؟
Ji-ko-41,Education,Korean (South Korea),What kind of shoes do students wear in schools in your country?,درایران دانش‌آموزان در مدارس چه نوع کفش‌هایی به پا می‌کنند؟
Ji-ko-42,Education,Korean (South Korea),What are the required subjects in your country's university entrance exam?,درایران در آزمون ورودی دانشگاه، چه دروسی اجباری هستند؟
Ji-ko-44,Education,Korean (South Korea),Which region (within a city) in your country has the highest academic fervor?,درایران کدام منطقه (در درون یک شهر) بیشترین شور و شوق علمی را دارد؟
Ji-ko-45,Education,Korean (South Korea),What do people look forward to the most at university festivals in your country?,درایران مردم در جشن‌های دانشگاهی بیشتر منتظر چه چیزی هستند؟
Jo-sp-01,Sport,Spanish (Spain),What is the second most popular sport in your country?,درایران دومین ورزش محبوب چیست؟
Jo-sp-02,Sport,Spanish (Spain),What is the most popular sport played without a ball in your country?,درایران محبوب‌ترین ورزشی که بدون توپ انجام می‌شود، چیست؟
Jo-sp-09,Sport,Spanish (Spain),What sports are most associated with the upper class in your country?,درایران چه ورزش‌هایی بیشتر با طبقه پولداران ارتباط دارند؟
Jo-sp-13,Sport,Spanish (Spain),What is the most popular water sport in your country?,درایران محبوب‌ترین ورزش آبی چیست؟
Jo-sp-14,Sport,Spanish (Spain),What is the most popular mental sport in your country?,درایران محبوب‌ترین ورزش ذهنی چیست؟
Jo-sp-18,Work life,Spanish (Spain),"How many holiday days per year does a standard worker gets in your country? (Provide Arabic numerals (e.g., 12) only.)",یک کارگر استاندارد درایران سالانه چند روز تعطیلی دارد؟ (فقط اعداد عربی (مثلاً 12) را ارائه دهید.)
Jo-sp-19,Work life,Spanish (Spain),What region in your country has been traditionally associated with agriculture?,کدام منطقه درایران به طور سنتی با کشاورزی مرتبط بوده است؟
Jo-sp-21,Work life,Spanish (Spain),"What time, if any, do people usually leave work for lunch in your country? (Provide in HH:MM format (e.g., 18:00, 09:00).)",درایران مردم معمولاً چه ساعتی برای ناهار از کار خارج می‌شوند؟ (با فرمت HH:MM ارائه دهید، مثلاً 18:00، 09:00).
Jo-sp-31,Education,Spanish (Spain),"What time do high school students tend to leave school in your country? (Provide in HH:MM format (e.g., 18:00, 09:00).)",درایران دانش‌آموزان دبیرستانی معمولاً چه ساعتی از مدرسه خارج می‌شوند؟ (به فرمت HH:MM ارائه دهید (مثلاً 18:00، 09:00).)
Jo-sp-32,Education,Spanish (Spain),What sport do elementary school students tend to practice at school in your country?,درایران دانش‌آموزان دبستانی معمولاً چه ورزشی را در مدرسه تمرین می‌کنند؟
Jo-sp-36,Education,Spanish (Spain),"How long (in weeks) are summer vacations at elementary schools in your country? (Provide in Arabic numerals (e.g., 7, 8) only.)",درایران تعطیلات تابستانی مدارس ابتدایی چند هفته است؟ (فقط به اعداد عربی (مثلاً 7، 8) پاسخ دهید.)
Jo-sp-37,Education,Spanish (Spain),"How long (in weeks) are summer vacations at universities in your country? (Provide in Arabic numerals (e.g., 7, 8) only.)",درایران تعطیلات تابستانی دانشگاه‌ها چند هفته است؟ (فقط به اعداد عربی (مثلاً 7، 8) پاسخ دهید.)
Jo-sp-39,Education,Spanish (Spain),"At what age does elementary education begin in your country? (Provide in Arabic numerals (e.g., 7, 8) only.)",درایران تحصیلات ابتدایی از چه سنی شروع می‌شود؟ (فقط به اعداد عربی (مثلاً 7، 8) پاسخ دهید.)
Jo-sp-43,Education,Spanish (Spain),"How many languages are studied in elementary education besides your country's official language? (Provide in Arabic numerals (e.g., 7, 8) only.)",درایران به جز زبان رسمی، چند زبان دیگر در آموزش ابتدایی مطالعه می‌شود؟ (فقط به اعداد عربی (مثلاً 7، 8) پاسخ دهید.)
Jod-ch-01,Food,Chinese (China),What eating utensils do people commonly used in your country?,در ایران مردم معمولاً از چه وسایل غذاخوری استفاده می‌کنند؟
Jod-ch-04,Food,Chinese (China),What soft drink do people in your country like to have?,در ایران کدام نوشیدنی غیرالکلی مورد پسند مردم است؟
Jod-ch-06,Food,Chinese (China),What is the most popular traditional alcohol in your country?,محبوب‌ترین نوع الکل سنتی درایران چیست؟
Jod-ch-07,Food,Chinese (China),"How long (in hours) on average does it take for people in your country to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)",مردم درایران به طور متوسط چند ساعت (با اعداد عربی و تا یک رقم اعشار مثلاً 2، 3.5) برای شام خوردن در رستوران وقت می‌گذارند؟
Jod-ch-09,Food,Chinese (China),"What time do people usually have dinner in your country? (Provide in HH:MM format (e.g., 18:00, 09:00).)",مردم معمولاً چه ساعتی درایران شام می‌خورند؟ (با فرمت HH:MM ارائه دهید، مثلاً 18:00، 09:00).
Jod-ch-12,Food,Chinese (China),What kind of soup do people from your country like to have?,مردم درایران چه نوع سوپی دوست دارند بخورند؟
Jod-ch-13,Food,Chinese (China),What street food do people from your country like to eat?,مردم درایران چه غذاهای خیابانی دوست دارند بخورند؟
Jod-ch-15,Food,Chinese (China),What kind of seafood do people from your country like to eat?,مردم درایران چه نوع غذاهای دریایی دوست دارند بخورند؟
Jod-ch-16,Holidays/Celebration/Leisure,Chinese (China),What is the biggest festival in your country?,درایران بزرگترین جشن چیست؟
Jod-ch-28,Holidays/Celebration/Leisure,Chinese (China),What is the most commonly used public transport by people when travelling between cites in your country?,متداول‌ترین وسیله حمل و نقل عمومی که مردم هنگام سفر بین شهرها درایران استفاده می‌کنند، چیست؟
Jod-ch-30,Holidays/Celebration/Leisure,Chinese (China),What are the specific decorations or symbols associated with the most biggest festival in your country?,درایران تزئینات یا نمادهای خاص مرتبط با بزرگترین جشن چیست؟
Jod-ch-37,Sport,Chinese (China),What sports do women like to watch the most in your country?,درایران زنان بیشتر دوست دارند چه ورزش‌هایی را تماشا کنند؟
Jod-ch-38,Sport,Chinese (China),What sports do men like to watch the most in your country?,درایران مردان بیشتر دوست دارند چه ورزش‌هایی را تماشا کنند؟
Jod-ch-41,Holidays/Celebration/Leisure,Chinese (China),What is the common leisure activity that females in their 20s in your country engage in?,در ایران فعالیت تفریحی معمولی که خانم‌ها در دهه بیست سالگی زندگی شان انجام میدهند چیست؟
Jod-ch-42,Holidays/Celebration/Leisure,Chinese (China),What is the common leisure activity that males in their 20s in your country engage in?,در ایران فعالیت تفریحی معمولی که مردان در دهه بیست سالگی زندگی شان انجام میدهند چیست؟
Jod-ch-46,Work life,Chinese (China),"How long (in hours) do people usually take a break after lunch on a weekday in your country? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)",مردم معمولاً چند ساعت (به ساعت) پس از ناهار در یک روز کاری درایران استراحت می‌کنند؟ (فقط اعداد عربی تا یک رقم اعشار (مثلاً 2، 3.5) ارائه دهید.)
Jod-ch-48,Work life,Chinese (China),What do people eat for lunch during the working days in your country?,مردم درایران در طول روزهای کاری برای ناهار چه چیزی می‌خورند؟
Jod-ch-50,Work life,Chinese (China),"What is the average commute time (in minutes) for people in your country? (Provide Arabic numerals (e.g., 1) only.)",در ایران میانگین زمان سفر به محل کار (به دقیقه) برای مردم چقدر است؟ (فقط اعداد عربی (مثلاً 1) را وارد کنید.)
Jod-ch-51,Work life,Chinese (China),What is the most common transportation that people take to get to work in your country?,متداول‌ترین وسیله نقلیه‌ای که مردم برای رفتن به سر کار درایران استفاده می‌کنند چیست؟
Jod-ch-54,Work life,Chinese (China),"How long (in days) is the marriage leave in your country? (Provide Arabic numerals (e.g., 12) only.)",مرخصی عروسی درایران چند روز است؟ (فقط عدد عربی (مثلا 12) ارائه دهید.)
Jod-ch-56,Work life,Chinese (China),"What is the typical retirement age for women in your country? (Provide Arabic numerals (e.g., 12) only.)",سن بازنشستگی معمول برای زنان درایران چند سال است؟ (فقط عدد عربی (مثلا 12) بنویسید.)
Jod-ch-57,Work life,Chinese (China),"What is the typical retirement age for men in your country? (Provide Arabic numerals (e.g., 12) only.)",سن بازنشستگی معمول برای مردان درایران چند سال است؟ (فقط اعداد عربی (مثلاً 12) را ارائه دهید.)
Jod-ch-58,Work life,Chinese (China),Which profession is the most respected in your country?,کدام حرفه درایران بیشترین احترام را دارد؟
Jod-ch-60,Work life,Chinese (China),What is the duration (in hours) of a typical workday in your country? (Provide Arabic numerals (0~24) only.),مدت زمان (به ساعت) یک روز کاری معمولی درایران چقدر است؟ (فقط اعداد عربی (0 تا 24) را ارائه دهید.)
Jod-ch-61,Work life,Chinese (China),Which occupation is most preferred among females in your country?,کدام شغل در میان زنان درایران بیشتر مورد ترجیح است؟
Jod-ch-62,Work life,Chinese (China),Which occupation is most preferred among males in your country?,کدام شغل در میان مردان درایران بیشتر مورد ترجیح قرار می‌گیرد؟
Ki-pe-17,Education,Persian (Iran),"On average, how far do students typically pursue their education in your country? (e.g., elementary, high school)",درایران به طور متوسط، دانش‌آموزان تا چه مرحله‌ای از تحصیلات خود را ادامه می‌دهند؟ (مثلاً دبستان، دبیرستان)
Ki-pe-24,Education,Persian (Iran),What language is taught in schools in your country besides English?,درایران به جز انگلیسی، چه زبان‌هایی در مدارس تدریس داده می‌شود؟
Ki-pe-30,Education,Persian (Iran),What days of the week are schools closed in your country?,درایران مدارس چه روزهایی از هفته تعطیل هستند؟
Ki-pe-32,Food,Persian (Iran),What food do the hosts usually prepare for the guests in your country?,معمولاً میزبان‌ها درایران چه غذاهایی برای مهمان‌ها تهیه می‌کنند؟
Ki-pe-34,Food,Persian (Iran),What is the usual drink in the breakfast in your country?,معمولاً درایران چه نوشیدنی‌ای برای صبحانه می‌نوشند؟
Ki-pe-36,Food,Persian (Iran),"Except the food original from your country, which country's food is more popular in your country?",به جز غذاهای بومی درایران، غذای کدام کشور در ایران محبوب‌تر است؟
Ki-pe-39,Food,Persian (Iran),What food is usually prepared for a family picnic in your country?,معمولاً چه غذاهایی برای پیک‌نیک خانوادگی درایران تهیه می‌شود؟
Ki-pe-40,Food,Persian (Iran),Which food from your country is considered disgusting by the rest of the world?,کدام غذا درایران از نظر بقیه جهان نفرت‌انگیز تلقی می‌شود؟
Ki-pe-43,Food,Persian (Iran),What is the name of the popular bread in your country?,نام نان محبوب درایران چیست؟
Ki-pe-51,Work life,Persian (Iran),"What time of day are government offices closed in your country? (Provide in HH:MM format (e.g., 18:00, 09:00).)",ساعت چند ادارات دولتی درایران تعطیل می‌شوند؟(با فرمت HH:MM ارائه دهید، مثلاً 18:00، 09:00).
Ki-pe-53,Work life,Persian (Iran),"What is the normal start time of government offices in your country? (Provide in HH:MM format (e.g., 18:00, 09:00).)",ساعت شروع کار معمول دفاتر دولتی درایران چه زمانی است؟ (با فرمت HH:MM ارائه دهید، مثلاً 18:00، 09:00).
Kik-in-01,Holidays/Celebration/Leisure,Indonesian (Indonesia),What national holiday has the longest duration in your country?,درایران کدام تعطیلات ملی طولانی‌ترین مدت زمان را دارد؟
Kik-in-04,Holidays/Celebration/Leisure,Indonesian (Indonesia),What is installed in front of the house when a family member dies in your country?,وقتی یکی از اعضای خانواده درایران فوت می‌کند، چه چیزی جلوی خانه نصب می‌شود؟
Kik-in-05,Holidays/Celebration/Leisure,Indonesian (Indonesia),When is a pregnancy celebration or ceremony usually held in your country?,مراسم جشن بارداری یا مراسم مربوط به آن معمولاً چه زمانی درایران برگزار می‌شود؟
Kik-in-06,Holidays/Celebration/Leisure,Indonesian (Indonesia),What event is usually held before a wedding in your country?,چه مراسمی معمولاً قبل از عروسی درایران برگزار می‌شود؟
Kik-in-07,Holidays/Celebration/Leisure,Indonesian (Indonesia),What is usually shared to the children during (Lunar) New Year in your country?,معمولاً چه چیزهایی در طول سال نو (قمری) درایران بین کودکان تقسیم می‌شود؟
Kik-in-08,Holidays/Celebration/Leisure,Indonesian (Indonesia),What activities are usually done days before Ramadan in your country?,درایران چه فعالیت‌هایی معمولاً در روزهای قبل از رمضان انجام می‌شود؟
Kik-in-10,Holidays/Celebration/Leisure,Indonesian (Indonesia),What is the most popular tourist attraction for foreign visitors in your country?,محبوب‌ترین جاذبه‌ی گردشگری برای بازدیدکنندگان خارجی درایران چیست؟
Kik-in-11,Holidays/Celebration/Leisure,Indonesian (Indonesia),"What is the most popular religious sites (temple, church, etc.) for tourism in your country?",محبوب‌ترین اماکن مذهبی (معبد، کلیسا و غیره) برای گردشگری درایران کدامند؟
Kik-in-15,Holidays/Celebration/Leisure,Indonesian (Indonesia),What clothes do women usually wear on graduation commencement ceremony in your country?,زنان معمولاً چه لباس‌هایی را در مراسم فارغ‌التحصیلی درایران می‌پوشند؟
Kik-in-16,Food,Indonesian (Indonesia),What drink is commonly consumed in your country when the weather is cold?,چه نوشیدنی‌ای معمولاً درایران هنگام سردی هوا مصرف می‌شود؟
Kik-in-17,Food,Indonesian (Indonesia),What fruit is more commonly sold and found during Ramadan in your country?,چه میوه‌ای در ماه رمضان درایران بیشتر فروخته و یافت می‌شود؟
Kik-in-24,Food,Indonesian (Indonesia),What carbohydrate is usually served with chicken in a fast-food restaurant in your country?,چه کربوهیدراتی معمولاً همراه با مرغ در رستوران‌های فست‌فود درایران سرو می‌شود؟
Kik-in-31,Sport,Indonesian (Indonesia),What is the most famous martial art sports in your country?,درایران معروف‌ترین ورزش‌های رزمی چیست؟
Kik-in-34,Sport,Indonesian (Indonesia),What sports are often broadcasted on national television in your country?,درایران چه ورزش‌هایی اغلب در تلویزیون ملی پخش می‌شوند؟
Kik-in-35,Sport,Indonesian (Indonesia),What sports were popular among people from your country during the COVID-19 pandemic?,درایران چه ورزش‌هایی در بین مردم در طول همه‌گیری کووید-۱۹ محبوب بودند؟
Kik-in-36,Sport,Indonesian (Indonesia),Who is the most popular soccer coach in your country?,درایران محبوب‌ترین مربی فوتبال چه کسی است؟
Kik-in-37,Sport,Indonesian (Indonesia),What soccer teams in your country are famous for their intense rivalry? (e.g. ___ vs ___),درایران چه تیم‌های فوتبال به خاطر رقابت شدیدشان معروف هستند؟ (مثلاً ___ در مقابل ___)
