ID,Topic,Source,Question,Translation,South_Korea,China,Spain,Indonesia,Iran,West_Java
Al-en-21,Education,English (US),Which subject is the most important for gifted education in your country?,Which subject is the most important for gifted education in the US?,미국의 영재 교육에서 가장 중요한 과목은 무엇인가요?,在美国，哪个学科对于“天才班”来说最重要？,¿Qué asignatura es la más importante para la educación de los superdotados en EE.UU.?,Mata pelajaran apa yang paling penting untuk pendidikan bagi siswa berbakat di AS?,در آمریکا کدام درس برای آموزش استعدادهای درخشان مهم‌تر است؟,Mata pelajaran naon nu pang pentingna pikeun atikan budak berbakat di AS?
Al-en-34,Holidays/Celebration/Leisure,English (US),What do people do to celebrate New Year's Day in your country?,What do people do to celebrate New Year's Day in the US?,미국 사람들은 새해 첫날을 어떻게 기념하나요?,美国人在新年当天通常会做些什么来庆祝呢？,¿Qué hacen las personas para celebrar el Año Nuevo en EE. UU.?,Apa yang dilakukan orang-orang untuk merayakan Hari Tahun Baru di AS?,مردم برای جشن گرفتن روز سال نو در آمریکا چه کاری انجام می‌دهند؟,Naon nu dilakukeun ku urang AS pikeun ngarayakeun Poé Taun Anyar di Amérika Serikat?
Al-en-35,Holidays/Celebration/Leisure,English (US),What do people do to celebrate Christmas in your country?,What do people do to celebrate Christmas in the US?,미국에서 사람들은 크리스마스를 어떻게 기념하나요?,人们在美国怎样庆祝圣诞节？,¿Qué hacen las personas para celebrar la Navidad en EE. UU.?,Apa yang dilakukan orang-orang untuk merayakan Natal di AS?,در آمریکا مردم برای جشن گرفتن کریسمس چه کارهایی انجام می‌دهند؟,Naon nu dilakukeun ku jalma-jalma di AS pikeun ngarayakeun Natal?
Al-en-38,Holidays/Celebration/Leisure,English (US),What food is associated with Valentine's day in your country?,What food is associated with Valentine's day in the US?,미국에서 발렌타인 데이와 관련된 식품은 무엇인가요?,在美国，哪些食物与情人节有关？,¿Qué comida se asocia con el día de San Valentín en EE. UU.?,Makanan apa yang dikaitkan dengan hari Valentine di AS?,چه غذایی با روز ولنتاین در ایالات متحده مرتبط است؟,Naon kadaharan anu pakait sareng poé Valentine di AS?
Al-en-39,Holidays/Celebration/Leisure,English (US),What do people eat on their birthday in your country?,What do people eat on their birthday in the US?,미국 사람들은 생일에 무엇을 먹나요?,在美国，人们在生日时通常吃什么？,¿Qué comen las personas en su cumpleaños en EE. UU.?,Apa yang biasanya orang makan di hari ulang tahun mereka di AS?,مردم در آمریکا در روز تولدشان چه چیزی می‌خورند؟,Naon nu biasa didahar ku urang Amérika dina poé ulang taun di AS?
Al-en-40,Holidays/Celebration/Leisure,English (US),What is a popular outdoor place for families to have fun with little kids in your country?,What is a popular outdoor place for families to have fun with little kids in the US?,미국에서 가족들이 어린 아이들과 함께 재밌는 시간을 보낼 수 있는 인기 있는 야외 장소는 어디인가요?,在美国，有哪些受欢迎的户外场所适合家庭带着小孩子去玩乐？,¿Cuál es un lugar al aire libre popular para que las familias se diviertan con niños pequeños en EE.UU.?,Apa tempat luar ruangan yang populer bagi keluarga untuk bersenang-senang bersama anak-anak kecil di AS?,یک مکان محبوب فضای باز برای خانواده‌ها برای تفریح با بچه‌های کوچک در آمریکا چیست؟,Naon tempat wisata alam anu populer pikeun kulawarga liburan jeung barudak leutik di AS?
Al-en-43,Holidays/Celebration/Leisure,English (US),What is a popular indoor activity for families in your country?,What is a popular indoor activity for families in the US?,미국에서 가족들이 실내에서 주로 즐기는 활동은 무엇인가요?,在美国，家庭中流行的室内活动是什么？,¿Cuál es una actividad de interior popular para las familias en EE.UU.?,Apa kegiatan dalam ruangan yang populer untuk keluarga di AS?,یک فعالیت داخلی محبوب برای خانواده‌ها در آمریکا چیست؟,Naon kagiatan di jero rohangan anu populer pikeun kulawarga di AS?
An-ar-02,Education,Arabic (Algeria),Where do university students have lunch in your country?,Where do university students have lunch in the US?,미국의 대학생들은 어디에서 점심을 먹나요?,在美国，大学生通常在哪里吃午饭？,¿Dónde almuerzan los estudiantes universitarios en EE.UU.?,Di mana mahasiswa universitas makan siang di AS?,در آمریکا دانشجویان دانشگاه کجا ناهار می‌خورند؟,Di mana mahasiswa universitas tuang siang di AS?
An-ar-03,Education,Arabic (Algeria),Which month is the final exam term usually scheduled at high schools in your country? (Provide Arabic numerals (1~12) only.),Which month is the final exam term usually scheduled at high schools in the US? (Provide Arabic numerals (1~12) only.),미국의 고등학생들은 주로 몇 월에 기말고사를 보나요? (아라비아 숫자(1~12)만 기재해 주세요.),美国的高中通常在哪个月安排期末考试？（只提供阿拉伯数字（1~12）。）,¿En qué mes se suele programar el período de exámenes finales en los institutos de EE.UU.? (Indica solo con números del 1 al 12).,Bulan berapa biasanya jadwal ujian akhir semester di sekolah menengah atas di AS? (Berikan hanya angka Arab (1~12).),در آمریکا امتحانات نهایی دبیرستان‌ها معمولاً در چه ماهی برگزار می‌شود؟ (فقط اعداد عربی (1 تا 12) را وارد کنید.),Dina bulan sabaraha biasana ujian ahir semester di SMA di AS diayakeun? (Pasihkeun nomer Arab (1~12) wungkul.)
An-ar-08,Education,Arabic (Algeria),"How many hours a day do students in your country usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.)","How many hours a day do students in the US usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.)","미국 고등학생들은 보통 하루에 몇 시간을 학교에서 보내나요? (아라비아 숫자 정수(0~24)로, 소수점 없이 제공해주세요.)",美国的高中生通常每天在学校多少小时？（请提供阿拉伯数字整数（0~24），不要有任何小数点。）,"¿Cuántas horas al día suelen pasar los estudiantes en el instituto en EE.UU.? (Indica el número en números enteros (0~24), sin ningún decimal.)","Berapa jam dalam sehari biasanya siswa di AS menghabiskan waktu di sekolah menengah atas? (Gunakan angka Arab dalam bilangan bulat (0~24), tanpa titik desimal.)",در آمریکا دانش‌آموزان معمولاً چند ساعت در روز را در دبیرستان می‌گذرانند؟ (از اعداد عربی به صورت صحیح (0 تا 24) و بدون نقطه اعشار استفاده کنید.),"Sabaraha jam sapoé biasana murid di AS nyeepkeun waktosna di SMA? (Pasihkeun angka Arab dina wangun bilangan bulat (0~24), tanpa titik desimal.)"
An-ar-09,Education,Arabic (Algeria),"How many languages do students study at high school in your country? (Provide Arabic numerals (e.g., 5) only.)","How many languages do students study at high school in the US? (Provide Arabic numerals (e.g., 5) only.)",미국의 고등학생들은 학교에서 몇 가지 언어를 공부하나요? (아라비아 숫자(예: 5)만 기재해주세요.),在美国的高中，学生们学习多少种语言？（只提供阿拉伯数字（例如，5）。）,"¿Cuántos idiomas estudian los alumnos en el instituto en EE.UU.? (Indica solo en números, por ejemplo, 5.)","Berapa banyak bahasa yang dipelajari oleh siswa di sekolah menengah atas di AS? (Berikan angka Arab (misalnya, 5) saja.)",در آمریکا دانش‌آموزان در دبیرستان چند زبان مطالعه می‌کنند؟ (فقط عدد عربی (مثلاً 5) ارائه دهید.),"Sabaraha basa nu diajarkeun ka murid di SMA di AS? (Pasihkeun angka Arab wungkul (contona, 5).)"
An-ar-34,Sport,Arabic (Algeria),What is the most popular sport played in a team at school in your country?,What is the most popular sport played in a team at school in the US?,미국의 학교에서 가장 인기 있는 팀스포츠는 무엇입니까?,在美国学校里，最受欢迎的团队运动是什么？,¿Cuál es el deporte de equipo más popular que se juega en las escuelas en EE. UU.?,Apa olahraga tim paling populer yang dimainkan di sekolah-sekolah di AS?,در آمریکا محبوب‌ترین ورزش دسته‌جمعی که در مدارس بازی می‌شود، چیست؟,Naon olahraga tim nu pang populerna dipaénkeun di sakola di AS?
An-ar-35,Sport,Arabic (Algeria),Who is the most popular sport commentator in your country?,Who is the most popular sport commentator in the US?,미국에서 가장 인기 있는 스포츠 해설가는 누구인가요?,谁是美国最受欢迎的体育评论员？,¿Quién es el comentarista deportivo más popular en Estados Unidos?,Siapa komentator olahraga paling populer di AS?,در آمریکا محبوب‌ترین گزارشگر ورزشی چه کسی است؟,Saha komentator olahraga nu pang populerna di AS?
An-ar-36,Sport,Arabic (Algeria),What is the most popular sport team in your country?,What is the most popular sport team in the US?,미국에서 가장 인기 있는 스포츠 팀은 어디인가요?,美国最受欢迎的运动队是哪一支？,¿Cuál es el equipo deportivo más popular en EE.UU.?,Apa tim olahraga paling populer di AS?,درآمریکا محبوب‌ترین تیم ورزشی کدام است؟,Naon tim olahraga nu pang populerna di AS?
An-ar-43,Sport,Arabic (Algeria),What are the common places or venues where individuals in your country usually gather to watch sports broadcasts?,What are the common places or venues where individuals in the US usually gather to watch sports broadcasts?,미국 사람들이 보통 스포츠 방송을 보기 위해 모이는 장소는 어디인가요?,在美国，人们通常聚集在哪些常见的地点或场所观看体育转播？,¿Cuáles son los lugares o establecimientos habituales donde la gente en EE. UU. suele reunirse para ver las retransmisiones deportivas?,Apa saja tempat atau lokasi umum di mana orang-orang di AS biasanya berkumpul untuk menonton siaran olahraga?,در ایالات متحده مکان‌ ها یا محل‌های معمول که افراد معمولاً برای تماشای پخش‌های ورزشی در آنجا جمع می‌شوند، کدام‌ها هستند؟,Naon tempat-tempat umum atawa lokasi di mana jalma-jalma di AS biasana ngariung pikeun nongton siaran olahraga?
Ca-sp-05,Food,Spanish (Spain),"How many meals per day do people from your country usually have? (Provide Arabic numerals (e.g., 5) only.)","How many meals per day do people from the US usually have? (Provide Arabic numerals (e.g., 5) only.)",미국 사람들은 보통 하루에 몇 끼를 먹나요? (아라비아 숫자(예: 5)만 기재하세요.),美国人通常一天吃几顿饭？（只提供阿拉伯数字（例如，5）。）,"¿Cuántas comidas al día suelen tener las personas de EE.UU.? (Proporciona la respuesta en números (por ejemplo, 5).)","Berapa kali makan dalam sehari yang biasanya dilakukan oleh orang AS? (Berikan angka numerik Arab saja (contoh, 5).)",مردم در آمریکا معمولاً روزانه چند وعده غذا می‌خورند؟ (فقط اعداد عربی (مثلاً 5) را وارد کنید.),"Sabaraha kali tuang sapoé nu biasa dilakukeun ku urang AS? (Pasihkeun angka Arab wungkul (contona, 5).)"
Ca-sp-06,Food,Spanish (Spain),Which is the most important meal of the day to people from your country?,Which is the most important meal of the day to people from the US?,미국 사람들에게 하루 중 가장 중요한 끼니는 무엇인가요?,对美国人来说，一天中最重要的一餐是哪一餐？,¿Cuál es la comida más importante del día para la gente de EE. UU.?,Manakah waktu makan yang paling penting dalam sehari bagi orang-orang Amerika Serikat?,کدام وعده غذایی از روز برای مردم در آمریکا مهم‌تر است؟,Waktos dahar naon nu pang pentingna dina sapoé keur urang AS?
Ca-sp-08,Food,Spanish (Spain),What is the most common ingredient used in your country's diet?,What is the most common ingredient used in the US's diet?,미국 음식에서 가장 흔히 사용되는 재료는 무엇입니까?,美国饮食中最常用的食材是什么？,¿Cuál es el ingrediente más común utilizado en la dieta estadounidense?,Apa bahan makanan yang paling sering digunakan dalam diet masyarakat AS?,متداول‌ترین ماده‌ی غذایی مورد استفاده در رژیم غذایی در آمریکا چیست؟,Naon bahan panganan anu pang ilaharna dipake kanggo diet urang AS?
Ca-sp-09,Food,Spanish (Spain),What do people from your country usually eat for dessert?,What do people from the US usually eat for dessert?,미국 사람들은 보통 디저트로 무엇을 먹나요?,美国人通常吃什么甜点？,¿Qué suelen comer los estadounidenses de postre?,Apa yang biasanya dimakan orang AS untuk makanan penutup?,مردم در آمریکا معمولاً برای دسر چه می‌خورند؟,Naon biasana nu didahar ku urang AS pikeun hidangan pamungkas?
Ca-sp-11,Food,Spanish (Spain),Which day of the week do people usually organize a family meal in your country?,Which day of the week do people usually organize a family meal in the US?,미국에서 사람들은 보통 어떤 요일에 가족식사를 하나요?,在美国，人们通常在一周的哪一天组织家庭聚餐？,¿Qué día de la semana suelen organizar una comida familiar en EE.UU.?,Hari apa dalam seminggu orang biasanya mengadakan makan bersama keluarga di AS?,مردم در آمریکا معمولاً در چه روزی از هفته مهمانی خانوادگی برگزار می‌کنند؟,Poé naon dina saminggu biasana jalma-jalma di AS ngayakeun acara dahar kulawarga?
Ca-sp-14,Food,Spanish (Spain),Which is the most popular hot drink in your country?,Which is the most popular hot drink in the US?,미국에서 가장 인기 있는 따뜻한 음료는 무엇입니까?,在美国最受欢迎的热饮是什么？,¿Cuál es la bebida caliente más popular en EE. UU.?,Minuman panas apa yang paling populer di AS?,محبوب‌ترین نوشیدنی گرم در آمریکا کدام است؟,Inuman panas naon nu pang populerna di AS?
Ca-sp-21,Holidays/Celebration/Leisure,Spanish (Spain),At which month do people usually take holidays in your country? (Provide Arabic numerals (1~12) only.),At which month do people usually take holidays in the US? (Provide Arabic numerals (1~12) only.),미국에서 사람들이 보통 어느 달에 휴가를 가나요? (아라비아 숫자(1~12)만 기재해 주세요.),在美国，人们通常在哪个月份休假？（只提供1~12的阿拉伯数字。）,¿En qué mes suelen las personas tomar vacaciones en EE.UU.? (Proporciona la respuesta en números del 1 al 12).,Pada bulan apa orang biasanya mengambil liburan di AS? (Berikan angka Arab (1~12) saja.),مردم معمولاً در چه ماهی در آمریکا تعطیلات می‌گیرند؟ (فقط اعداد عربی (1 تا 12) را وارد کنید.),Dina bulan sabaraha biasana jalma-jalma nyandak liburan di AS? (Pasihkeun nomer Arab (1~12) hungkul.)
Ca-sp-29,Holidays/Celebration/Leisure,Spanish (Spain),What tradition is there in your country for New Year's Eve?,What tradition is there in the US for New Year's Eve?,미국에는 새해 전날에 무엇을 하는 문화가 있나요?,美国在除夕有什么传统？,¿Qué tradición hay en EE. UU. para Nochevieja?,Apa tradisi yang ada di AS untuk Malam Tahun Baru?,در شب سال نو در آمریکا چه سنت‌هایی وجود دارد؟,Naon tradisi anu aya di AS pikeun wengi Taun Anyar?
Ca-sp-38,Family,Spanish (Spain),Which is the typical type of house for a family in your country?,Which is the typical type of house for a family in the US?,미국에서 가족이 전형적으로 거주하는 주거형태는 무엇인가요?,在美国，典型的家庭住宅是哪种类型的房子？,¿Cuál es el tipo de casa típico para una familia en EE.UU.?,Apa jenis rumah yang biasa untuk sebuah keluarga di AS?,درآمریکا معمولاً چه نوع خانه‌ای برای یک خانواده معمول است؟,Naon jenis imah anu umum pikeun kulawarga di AS?
Ca-sp-41,Family,Spanish (Spain),Where do the dependent elderly usually live in your country?,Where do the dependent elderly usually live in the US?,미국에서 돌봄이 필요한 노인들은 대체로 어느 곳에 사나요?,在美国，需要依赖他人照顾的老年人通常住在哪里？,¿Dónde suelen vivir las personas mayores dependientes en EE.UU.?,Di mana para lansia yang membutuhkan bantuan biasanya tinggal di AS?,در آمریکا افراد مسن وابسته معمولاً در کجا زندگی می‌کنند؟,Di mana biasana para sepuh anu gumantung cicing di AS?
Ca-sp-42,Family,Spanish (Spain),"How long (in weeks) is your country's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.)","How long (in weeks) is the US's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.)",미국에서 여성의 출산 휴가는 몇 주인가요? (아라비아 숫자(예: 20)만 제공해 주세요.),美国的产假有多少周？（只提供阿拉伯数字，例如：20。）,"¿Cuántas semanas dura la baja por maternidad en EE.UU. para las madres? (Proporciona la respuesta en números, por ejemplo, 20).","Berapa lama (dalam minggu) cuti hamil di AS untuk ibu? (Hanya berikan angka Arab (misalnya, 20).)",درآمریکا مرخصی زایمان برای مادران چند هفته است؟ (فقط عدد عربی (مثلاً 20) ارائه دهید.),"Sabaraha lami (dina minggu) cuti ngalahirkeun di AS pikeun ibu-ibu? (Pasihkeun angka Arab wungkul (contona, 20).)"
Ca-sp-43,Family,Spanish (Spain),"How long (in weeks) is your country's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.)","How long (in weeks) is the US's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.)",미국에서 남성의 육아휴직 기간은 몇 주인가요? (아라비아 숫자(예: 20)만 기재해 주세요.),美国的父亲陪产假有多少周？（只提供阿拉伯数字，例如：20。）,"¿Cuántas semanas dura la baja por paternidad en EE.UU. para los padres? (Proporciona la respuesta en números, por ejemplo, 20).","Berapa lama (dalam minggu) cuti paternitas di AS untuk ayah? (Hanya berikan angka Arab (misalnya, 20).)",درآمریکا مرخصی زایمان برای پدران چند هفته است؟ (فقط عدد عربی (مثلاً 20) ارائه دهید.),"Sabaraha lami (dina minggu) cuti ngalahirkeun pikeun bapa di AS? (Pasihkeun angka Arab wungkul (contona, 20).)"
Ca-sp-45,Family,Spanish (Spain),What type of destination is commonly chosen for a family vacation in your country?,What type of destination is commonly chosen for a family vacation in the US?,미국에서는 주로 어떤 종류의 여행지로 가족 휴가를 가나요?,在美国，家庭度假通常选择哪种类型的目的地？,¿Qué tipo de destino se elige comúnmente para unas vacaciones familiares en EE.UU.?,Jenis destinasi apa yang biasanya dipilih untuk liburan keluarga di AS?,در آمریکا معمولاً چه نوع مقصدی برای تعطیلات خانوادگی انتخاب می‌شود؟,Naon jinis tujuan anu ilahar dipilih pikeun liburan kulawarga di AS?
Gu-ch-05,Sport,Chinese (China),What sports do seniors like the most in your country?,What sports do seniors like the most in the US?,미국의 노인들이 가장 좋아하는 스포츠는 무엇인가요?,在美国，老年人最喜欢什么运动？,¿Qué deportes prefieren los mayores en EE.UU.?,Olahraga apa yang paling disukai oleh orang tua di AS?,در آمریکا سالمندان بیشتر از چه ورزش‌هایی خوششان می‌آید؟,Olahraga naon nu pang dipikaresep ku para sepuh di AS?
Gu-ch-06,Sport,Chinese (China),What sports do men like to play the most in your country?,What sports do men like to play the most in the US?,미국 남성들이 가장 좋아하는 스포츠는 무엇인가요?,在美国，男性最喜欢参与什么运动？,¿Qué deportes prefieren practicar los hombres en EE.UU.?,Olahraga apa yang paling disukai untuk dimainkan oleh pria di AS?,در آمریکا مردان بیشتر به بازی کردن چه ورزش‌هایی علاقه دارند؟,Olahraga naon nu pang dipikaresep dipaénkeun ku lalaki di AS?
Gu-ch-07,Sport,Chinese (China),Who is the most famous basketball player in your country?,Who is the most famous basketball player in the US?,미국에서 가장 유명한 농구 선수는 누구인가요?,美国最著名的篮球运动员是谁？,¿Quién es el jugador de baloncesto más famoso de Estados Unidos?,Siapa pemain bola basket paling terkenal di AS?,درآمریکا معروف‌ترین بازیکن بسکتبال چه کسی است؟,Saha atlit basket nu pang kasohorna di AS?
Gu-ch-08,Sport,Chinese (China),What is the most popular sports among children in your country?,What is the most popular sports among children in the US?,미국의 아이들 사이에서 가장 인기 있는 스포츠는 무엇인가요?,在美国，孩子们最喜欢的运动是什么？,¿Cuál es el deporte más popular entre los niños en EE.UU.?,Apa olahraga paling populer di kalangan anak-anak di AS?,درآمریکا محبوب‌ترین ورزش بین کودکان چیست؟,Naon olahraga nu pang populerna di kalangan barudak di AS?
Gu-ch-09,Sport,Chinese (China),What sports do women like to play the most in your country?,What sports do women like to play the most in the US?,미국 여성들이 가장 좋아하는 스포츠는 무엇인가요?,在美国，女性最喜欢参与哪些运动？,¿Qué deportes les gusta practicar más a las mujeres en EE. UU.?,Olahraga apa yang paling disukai untuk dimainkan oleh wanita di AS?,در آمریکا زنان بیشتر به بازی کردن چه ورزش‌هایی علاقه دارند؟,Olahraga naon nu pang dipikaresep dipaénkeun ku awéwé di AS?
Gu-ch-11,Sport,Chinese (China),What sports event has your country won the most gold medals at the Olympics?,What sports event has the US won the most gold medals at the Olympics?,미국이 올림픽에서 가장 많은 금메달을 획득한 종목은 무엇인가요?,美国在奥运会上哪个体育项目获得了最多的金牌？,¿En qué evento deportivo ha ganado EE. UU. más medallas de oro en los Juegos Olímpicos?,Dalam olahraga apa AS memenangkan medali emas terbanyak di Olimpiade?,در ایالات متحده چه رویداد ورزشی در المپیک بیشترین مدال طلا را کسب کرده است؟,Cabang olahraga naon nu pang lobana ngameunangan medali emas ku AS di Olimpiade?
Gu-ch-15,Sport,Chinese (China),What sports do male students in university like to play the most in your country?,What sports do male students in university like to play the most in the US?,미국의 대학교 남학생들이 가장 좋아하는 스포츠는 무엇인가요?,在美国，大学里的男生最喜欢玩什么运动？,¿Qué deportes prefieren practicar los estudiantes universitarios en EE.UU.?,Olahraga apa yang paling disukai oleh mahasiswa pria di universitas untuk dimainkan di AS?,در آمریکا دانشجویان پسر در دانشگاه‌ها بیشتر به چه ورزش‌هایی علاقه دارند؟,Olahraga naon nu pang dipikaresep ku mahasiswa lalaki di universitas pikeun dipaénkeun di AS?
Gu-ch-16,Family,Chinese (China),"How many people are there in a family on average in your country? (Provide Arabic numerals (e.g., 12) only.)","How many people are there in a family on average in the US? (Provide Arabic numerals (e.g., 12) only.)",미국의 평균 가족 구성원 수는 몇 명입니까? (아라비아 숫자(예: 12)만 기재해 주세요.),美国的家庭平均有多少人？（只提供阿拉伯数字（例如，12）。）,"¿Cuántas personas hay en una familia de media en EE.UU.? (Proporciona la respuesta en números (por ejemplo, 12).)","Berapa banyak orang rata-rata dalam satu keluarga di AS? (Hanya berikan angka Arab (contoh, 12).)",درآمریکا میانگین تعداد افراد در یک خانواده چند نفر است؟ (فقط اعداد عربی (مثلاً 12) را ارائه دهید.),"Sabaraha jalma nu aya dina hiji kulawarga sacara rata-rata di AS? (Pasihkeun nomer Arab (contona, 12) hungkul.)"
Gu-ch-18,Family,Chinese (China),"How many children do couples usually have in your country? (Provide Arabic numerals (e.g., 12) only.)","How many children do couples usually have in the US? (Provide Arabic numerals (e.g., 12) only.)",미국의 부부는 보통 몇 명의 자녀를 가지고 있습니까? (아라비아 숫자(예: 12)만 기재해 주세요.),在美国，夫妇通常会有几个孩子？（只提供阿拉伯数字（例如，12）。）,¿Cuántos hijos suelen tener las parejas en EE.UU.? (Proporciona la respuesta en números),"Berapa banyak anak yang biasanya dimiliki oleh pasangan di AS? (Berikan hanya angka Arab (misalnya, 12).)",درآمریکا معمولاً زوج‌ها چند فرزند دارند؟ (فقط اعداد عربی (مثلاً 12) را وارد کنید.),"Sabaraha jumlah budak anu biasana dipiboga ku pasangan di AS? (Pasihan nomer Arab wungkul (contona, 12).)"
Gu-ch-31,Education,Chinese (China),"What is the duration of elementary school in years in your country? (Provide Arabic numerals (e.g., 12) only.)","What is the duration of elementary school in years in the US? (Provide Arabic numerals (e.g., 12) only.)",미국의 초등학교는 총 몇 년 다녀야 하나요? (아라비아 숫자(예: 12)만 기재해 주세요.),美国小学的学制是多少年？（只提供阿拉伯数字，例如：12。）,"¿Cuál es la duración en años de la educación primaria en EE. UU.? (Proporciona la respuesta en números (por ejemplo, 12).)","Berapa lama durasi sekolah dasar dalam tahun di AS? (Berikan hanya angka Arab (misalnya, 12).)",در آمریکا مدت زمان دبستان به تعداد سال چقدر است؟ (فقط اعداد عربی (مثلاً 12) را ارائه دهید.),"Sabaraha taun durasi sakola dasar di AS? (Pasihkeun nomer Arab wungkul (contona, 12).)"
